sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,uniform,random,4,58,-2,10.454389095306396,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-2,16.172549962997437,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,8.947097063064575,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-8,6.92652702331543,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-4,9.85122013092041,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,8.800013065338135,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-8,6.455022811889648,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,9.799605131149292,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,4.990738868713379,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,6.983912229537964,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-7,7.175596237182617,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,7.534088134765625,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-4,9.99741005897522,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-7,7.590895175933838,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,10.518758058547974,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,9.870523929595947,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,10.126253128051758,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-3,11.605118036270142,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-4,8.105343103408813,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,9.94369888305664,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,9.454792976379395,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-2,7.9270219802856445,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,10.513942003250122,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,7.0370612144470215,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-4,11.75582480430603,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,7.199275016784668,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,11.34550404548645,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-7,10.574876308441162,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-2,9.431670188903809,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,8.450665950775146,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,7.5629167556762695,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,8.7558012008667,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,8.189764261245728,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-2,14.033645153045654,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-8,6.469915151596069,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-4,8.492151021957397,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,5.121981859207153,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-3,10.62567925453186,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-8,7.558565139770508,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-7,9.085429430007935,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,8.798019170761108,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-6,8.096343755722046,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,8.301205158233643,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,8.24880075454712,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,5.807593107223511,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-9,5.6134352684021,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-6,6.880488872528076,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-7,6.961967706680298,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,9.849987268447876,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,7.4407289028167725,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-3,13.124139070510864,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-3,7.9330220222473145,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,10.599313974380493,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,7.127885103225708,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,6.210167169570923,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-6,7.183442831039429,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,10.78174901008606,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,8.025936841964722,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,5.8483030796051025,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,8.011865139007568,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,9.480703115463257,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,8.040040016174316,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,10.193798780441284,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-6,6.687439203262329,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-7,7.029378175735474,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,7.376988172531128,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-3,14.341864109039307,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-7,7.3894431591033936,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-5,9.437747955322266,saturate_50,sudoku9
500,25,10000,10,rank,uniform,random,4,58,-6,6.151105880737305,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-5,7.845845937728882,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-6,10.294968843460083,saturate_50,sudoku10
500,25,10000,10,rank,uniform,random,4,58,-4,12.009413957595825,saturate_50,sudoku9
