sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria,sudoku_board_name
500,25,10000,10,rank,uniform,random,4,51,-4,14.118834972381592,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,7.5139100551605225,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,7.278270959854126,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-2,10.665299892425537,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-5,12.621234893798828,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-8,7.460400104522705,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,6.702895879745483,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,5.748049736022949,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-2,14.07448410987854,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,7.207705736160278,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-5,10.76819109916687,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,9.047574043273926,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-8,6.078735113143921,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-5,11.506777048110962,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-8,6.666061162948608,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-4,8.146286010742188,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-7,14.253973007202148,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-8,5.882358074188232,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-6,6.818253993988037,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-8,6.315775156021118,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-6,8.7012357711792,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-6,6.830380916595459,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-6,8.847429990768433,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-7,8.87100100517273,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-9,5.374284029006958,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-8,5.122131109237671,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,6.341574192047119,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-4,8.095988988876343,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,9.28234577178955,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,6.713032007217407,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-4,14.440605163574219,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,9.476059913635254,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,50,-6,8.941007852554321,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-3,12.928092956542969,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-6,8.743839979171753,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-7,7.003004789352417,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-5,7.494150161743164,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,51,-4,9.650283098220825,saturate_50,sudoku4
500,25,10000,10,rank,uniform,random,4,50,-7,9.105653047561646,saturate_50,sudoku3
500,25,10000,10,rank,uniform,random,4,51,-6,7.019781112670898,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-3,27.000041961669922,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,50,-6,20.81388020515442,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-4,19.760329961776733,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-6,18.860379934310913,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-7,23.578209161758423,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-6,17.655123233795166,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-6,19.177685022354126,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,51,-4,14.63211703300476,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-2,32.64375925064087,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-4,19.09715986251831,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-6,17.23228693008423,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-4,15.787091970443726,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-5,23.724173069000244,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,50,-4,19.644601821899414,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-5,19.689705848693848,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-4,28.71972918510437,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-5,19.989927053451538,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,50,-6,23.26862597465515,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,51,-2,23.113853216171265,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-5,15.24454402923584,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-5,22.38089609146118,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-3,21.036341905593872,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,0,23.694905757904053,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-6,15.404036045074463,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,50,-5,25.970855951309204,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,51,-5,22.696308851242065,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,50,-6,16.310373067855835,saturate_50,sudoku3
1500,25,10000,10,rank,uniform,random,4,51,-4,24.18118119239807,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-5,29.734421968460083,saturate_50,sudoku4
1500,25,10000,10,rank,uniform,random,4,51,-5,27.122629165649414,saturate_50,sudoku4
