sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria
500,25,5000,10,rank,uniform,random,4,45,-2,8.912184000015259,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-7,6.488718032836914,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,8.54500937461853,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.654788017272949,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.19773006439209,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,8.251907110214233,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,4.939563989639282,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,5.405064821243286,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,7.7817041873931885,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.050588369369507,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,5.135318994522095,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,11.02882194519043,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,5.9332122802734375,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,4.523175001144409,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,4.894428014755249,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,5.32842493057251,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,11.371419191360474,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,4.67014217376709,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,7.7187111377716064,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,5.676624774932861,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,11.034073829650879,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,7.716946840286255,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,10.290356159210205,saturate_50
